SYMBOL
PIK3CA
CTNNB1
OPCML
CDH1
PRKN
AKT1
ERBB2
MIR125A
BRCA1
MIR146A
BRCA2
TP53
PTEN
MIR21
MIR214
BRAF
MSH2
RAD51C
RAD51D
MSH6
CDKN2A
MIR31
ATM
BRIP1
NBN
MAP3K1
KRAS
MIR223
LOC126862571
RAD51L3-RFFL
CHEK2
MIR200A
MIR34C
LOC126806658
MIR200C
MIR200B
MIR429
MUTYH
MIRLET7C
MIRLET7D
RRAS2
LOC130001603
LOC126806659
MIR337
MIR376B
MIRLET7G
MIRLET7I
MIR34B
MIR432
MIR495
MIR210
MIR377
MIR376C
MIR376A1
MIRLET7A3
OVCAS1
PVT1
CDKN2B
SRA1
H19
HOTAIR
MALAT1
UCA1
NEAT1
GAS5
HOXA11
XIST
OVAAL
LINC-ROR
CDKN2B-AS1
TUG1
RECK
CCAT1
HAGLR
CCAT2
LINC00092
HOXA11-AS
ZFAS1
CRNDE
SNHG16
AFAP1-AS1
BCYRN1
H1-3
SPRY4-IT1
SOX2-OT
SNHG20
LINC00515
NBAT1
PTPRD-AS1
DCST1-AS1
LUCAT1
MNX1-AS1
DNM3OS
NNT-AS1
MIAT
LINC00472
MIR22HG
MEG3
BACE1-AS
ASAP1-IT1
TNFRSF19
CARS2
GACAT3
FAM215A
LINC00623
IGSF9B
FMNL1-DT
LINC01088
CERNA2
DUXAP10
ENTPD3-AS1
ERLNC1
LINC01772
MIR583HG
SPAAR
ZNF300P1
MUC16
MIR141
EGFR
MIR30A
MIR146B
MIR145
MIR424
MIR30E
MIR140
MIR150
MIR126
MIR152
MIR10B
MIR142
MIR494
MIR508
MIR29C
MIR485
MIR182
MIR143
MIR221
MIR155
MIR125B1
BARD1
MIR222
CDKN1B
MIR100
MIR335
MIR106B
MIR29A
MIR99A
MIR183
MIR211
MIR127
MIR224
MIR134
MIR542
MIR26B
MIRLET7E
MIR361
MIR296
MIR331
MIR302C
MIR195
MIR206
MIR622
MIR199B
MIR374A
MIR381
MIR572
MIR184
MIR637
MIR422A
MIR515-1
MIR147A
MIR605
MIR627
HNF1B
PMS2
MIR498
MIR608
MIR346
MIR190A
MIR663A
MIR551A
MET
MIR487B
WT1
MIR518B
MIR611
MIR657
AR
MSLN
KLK8
MIR635
MIR648
MIR662
PDGFRA
RB1
PALB2
FANCF
PMS1
FANCD2
MUC1
ERCC2
NTRK1
KIT
DICER1
MRE11
XPA
ERCC3
FANCA
FOLR1
BUB1B
RET
CDKN1A
FANCC
DPH1
ALK
AXIN2
APC
PGR
PTCH1
BIRC5
MLH3
ERCC5
FANCE
BMPR1A
FANCG
RAD50
GPR68
TRIM24
ERBB3
STAT3
ANXA5
MAPK1
ESR1
PTK2
ABCB1
MMP2
JUN
BCL2
KRT7
BLM
WFDC2
PPM1D
MSR1
SMARCB1
MLH1
TNFRSF10B
XPC
CASP3
MMP9
TSC2
ERCC1
AKT2
PARP1
NME1
EGF
CLDN3
EPCAM
MYC
WRN
HIF1A
HMMR
PLAU
ERCC4
CD44
CCND1
FILIP1L
HSPB1
BIVM-ERCC5
MAPK3
TOP1
FSCN1
HNF1A
KLK6
RECQL4
C11orf65
FH
SNAI2
CLDN4
BCL2L1
SDHAF2
THBS1
AKT3
TSC1
NRG1
LOC129390903
ALPP
MT-CYB
ABCC1
ETS1
TH2LCRR
CDH2
EPHA2
TSHR
AOPEP
LOC107303338
LPAR3
FLCN
DAB2
RPS6KB1
MDM2
TH2-LCR
ABL1
XIAP
KLK10
MMP14
CDK4
MVP
CSF1
BAX
TNFSF10
FSHR
TERT
RNASEL
CASP8
KLK5
PLAUR
TNF
TGFA
KDR
GSTP1
GNRHR
SERPINB5
INHA
NFKB1
MTA1
TUBB
TOP2A
ABCC2
FASLG
ESR2
FBLN1
CLEC3B
ABCG2
MXI1
EDNRA
ELAC2
GNRH1
EXT1
TIMP2
HMMR-AS1
KLK4
KIF1B
PIK3CG
FAS
ITGB3
FN1
GADD45A
ERBB4
KRT20
TMEM127
CDK2
ITGAV
SNCG
MT-TT
ILK
FASN
SCGB2A1
RAD51
